ATS4pe,AATS3Z,AATS3se,AATSC0s,BCUTd-1l,BCUTse-1h,AETA_eta_L,IC1,BIC1,PEOE_VSA3,MID_N,SLogP,TopoPSA,MaxPartialCharge,fr_lactone,sp_p
212.253,6.333333333,7.1032975,1.133786848,0.987144715,3.667330062,0.439422485,1.720616645,0.398113205,0.0,0.0,1.559,20.23,0.043052406,0,4.0
194.3355,12.78947368,7.388853579,1.251000308,0.987868824,3.66799817,0.233668029,2.794788541,0.62671407,0.0,0.0,1.9546,20.23,0.115094837,0,4.2
631.504,9.739495798,7.312001714,0.6888235,0.987818768,3.677178852,0.350082128,2.462529776,0.436320433,0.0,0.0,4.567,29.46,0.118934827,0,10.2
100.0804,22.60869565,7.971478261,1.633536524,0.993011351,3.66801111,0.17427577,2.469670487,0.617417622,0.0,0.0,2.0456,20.23,0.116561888,0,7.5
119.2228,51.82608696,8.872752522,1.563326055,0.992374528,3.66815526,0.187959194,2.661226256,0.665306564,0.0,0.0,3.3524,20.23,0.15236012,0,8.7
136.9525,17.92592593,7.316416593,0.199104134,0.987988251,3.491641946,0.228941561,2.225605199,0.533727872,0.0,0.0,2.4254,0.0,0.047356316,0,7.2
34.496,7.733333333,7.9479576,3.84,0.986001079,3.669953514,0.310818511,1.921928095,0.60630081,0.0,0.0,-1.029,40.46,0.06622664,0,11.0
214.736,17.125,8.056422625,2.055555556,0.972142404,3.71411549,0.27224806,2.921928095,0.65522433,4.794537184,0.0,0.5045,38.83,0.332699592,0,8.5
86.47,13.4,8.0083108,1.882642998,0.987988857,3.703254186,0.21221083,3.026986833,0.774781571,0.0,0.0,0.7719,33.37,0.128644014,0,7.6
478.16,6.303030303,6.96254,0.084487535,0.98714361,2.94903177,0.49285113,1.105013997,0.212117072,0.0,0.0,4.9272,0.0,-0.053305974,0,0.0
188.345,5.333333333,6.932934667,0.11,0.987132423,2.933113496,0.48570226,1.156779649,0.27231624,0.0,0.0,2.5866,0.0,-0.053578702,0,0.0
366.426,7.909090909,7.110762909,0.917771681,0.987144313,3.667339586,0.446388393,1.810929417,0.385268087,0.0,0.0,2.1951,20.23,0.045866246,0,3.3
278.0415,19.6,7.917992667,1.824882726,0.984876693,3.723237243,0.330900376,1.897823509,0.403754462,4.565048285,0.0,2.204,54.57,0.474248048,0,11.4
0.0,4.5,8.094816,4.888888889,0.94742303,3.701438034,0.151759079,2.251629167,0.871049064,0.0,1.603553391,-0.8985,43.09,0.204030793,0,26.2
203.623,8.266666667,7.485561867,1.272727273,0.987143501,3.676582697,0.384030274,1.965767808,0.447546846,0.0,0.0,0.7954,29.46,0.069719362,0,5.1
408.478,11.07936508,7.946919683,0.559509277,0.987139954,3.68126497,0.334492129,1.751614472,0.353561781,0.0,0.0,1.4645,27.69,0.070710207,0,7.2
221.8507,21.71875,7.96211175,2.708679594,0.977679186,3.714559262,0.180123595,3.155565013,0.697584126,4.794537184,0.0,1.1788,46.53,0.341132119,0,8.0
811.9855,7.974193548,7.204751406,0.726451531,0.977841287,3.713977012,0.434240098,1.606679501,0.273122045,0.0,0.0,6.4193,26.3,0.305533724,0,3.9
13.376,10.5,7.453627333,2.765306122,0.910359656,3.35662239,0.143049032,2.128085279,0.67133616,0.0,1.655330086,0.69598,23.79,0.090531375,0,12.8
132.6975,12.20689655,7.137120966,0.359375,0.957506827,3.062398015,0.181616342,1.530639062,0.354156531,0.0,0.0,2.3296,0.0,-0.026255789,0,1.0
146.9945,34.74074074,7.90393363,3.128244932,0.972956105,3.713699205,0.192729457,2.840223929,0.668614029,4.794537184,0.0,2.1473,37.3,0.335179563,0,3.7
0.0,289.0,12.075625,0.001716464,0.986765147,3.533745196,0.334821165,0.811278124,0.288983099,0.0,0.0,3.7268,0.0,0.236391438,0,7.3
285.5612,9.607843137,7.599532471,1.24852071,0.987143609,3.679126444,0.348981877,1.984925913,0.42743053,0.0,0.0,0.4219,38.69,0.048750241,0,5.7
174.24,6.6,7.8236928,1.568333333,0.986936614,3.667806373,0.345696649,1.687943095,0.443337469,0.0,0.0,0.7772,20.23,0.056325853,0,5.1
68.992,7.517241379,7.584745655,2.481262327,0.978009866,3.701840758,0.313622013,2.507380102,0.658562218,0.0,1.945555518,-0.1036,29.1,0.219562478,0,17.4
671.37,6.518518519,6.969118963,0.0776,0.98714361,2.954695065,0.494638348,1.07832208,0.192053037,0.0,0.0,6.4876,0.0,-0.053305973,0,0.0
403.0576,26.34375,7.936263875,1.769451642,0.972842793,3.713713818,0.192113607,3.330124965,0.634560016,0.0,2.06516762,4.3641,49.33,0.307395877,0,12.9
266.935,11.09803922,7.099266745,0.187307099,0.987199258,3.063541474,0.289928278,2.284159128,0.480381319,0.0,0.0,2.8114,0.0,-0.030743748,0,0.0
183.48,5.722222222,6.985893556,0.14686659,0.986400586,2.944556522,0.454011122,1.277201811,0.319300453,0.0,0.0,2.0524,0.0,-0.047394926,0,0.0
334.895,31.33333333,9.965174833,9.658446712,0.987139973,4.027370504,0.294520072,2.527495544,0.584807403,0.0,0.0,2.6422,20.23,0.422835994,0,4.4
585.702,21.66666667,7.609429778,1.324509211,0.984177944,3.693871553,0.2584836,1.570970218,0.323379243,14.01124857,5.920244995,0.7793,36.6,0.284824846,0,8.6
43.56,7.333333333,8.686656,5.301608963,0.965564267,3.767356779,0.215628665,1.685815709,0.4702464,8.417796984,0.0,-0.3392,42.52,0.144104177,0,19.4
140.596,11.20833333,7.58928,1.653580247,0.987104822,3.681428879,0.293890729,2.306890596,0.59046716,0.0,1.817787564,1.2465,32.59,0.05368003,0,4.9
367.0776,12.17460317,7.305842667,0.271737344,0.993931,3.28756393,0.271505029,2.961236605,0.603485353,0.0,4.120437805,1.8483,16.13,0.036029667,0,6.6
97.5,33.56521739,7.852649739,1.65969635,0.992920502,3.667998966,0.195635002,2.469670487,0.617417622,0.0,0.0,2.1547,20.23,0.115154154,0,4.9
62.48,12.0,7.393147333,2.235833333,0.911113657,3.356831616,0.194165578,2.646439345,0.738205586,0.0,1.664557625,1.08608,23.79,0.09373747,0,15.1
135.7945,12.42857143,7.897702571,2.194101509,0.977917389,3.725167155,0.29325084,1.99107606,0.477484861,4.794537184,0.0,1.1794,35.53,0.507735822,0,3.1
1745.3852,20.16990291,8.079334641,3.097240786,0.97237402,4.011146237,0.321546244,3.575483215,0.572267077,8.780830095,0.0,2.9376,99.13,0.302565689,0,4.3
353.4185,11.78333333,7.568971533,5.752582514,0.98991653,4.030502017,0.38522216,1.800970957,0.410027506,0.0,0.0,3.129,0.0,0.391317418,0,0.0
211.069,11.28888889,8.056510489,2.104166667,0.987143609,3.679848782,0.323584363,1.896240625,0.419191921,0.0,0.0,-0.9958,58.92,0.070114176,0,12.5
304.784,23.96969697,8.958273697,7.576319444,0.971465526,3.779941793,0.201105707,2.690468571,0.603320961,0.0,5.977143846,-1.0201,157.11,0.294406798,0,14.6
270.767,7.5,7.3335535,1.165280927,0.987188753,3.667551498,0.404540587,1.875145811,0.433867887,0.0,0.0,1.4133,20.23,0.051410236,0,3.3
603.1729,28.36708861,8.115313924,3.008866246,0.971408332,3.76834532,0.186048182,3.769748003,0.674981793,13.40177551,6.168543101,1.581,107.98,0.277488412,0,7.1
212.5355,6.333333333,7.101315,0.176136364,0.987144715,3.236992676,0.423119717,1.763842123,0.401574375,0.0,1.926776695,1.396,12.03,-0.005155142,0,1.4
50.864,6.333333333,7.539358,2.466942149,0.986001079,3.667332697,0.320879309,2.55034071,0.767729053,0.0,1.655330086,-1.0626,46.25,0.055324581,0,15.5
163.577,11.6,8.187522286,1.940035273,0.972891504,3.714143301,0.29205555,2.117344208,0.482056282,0.0,0.0,0.586,35.53,0.302207301,0,4.7
101.53,9.0,7.954224,3.122287968,0.986400586,3.670110535,0.330113906,2.199687795,0.613587393,0.0,0.0,-0.6405,40.46,0.074238644,0,9.4
134.376,12.16666667,7.990314,5.220249836,0.972646359,3.75669439,0.264509929,2.034940914,0.549918677,0.0,1.936467026,0.6715,43.14,0.207175912,0,12.1
0.0,,,0.321978357,0.919380176,3.167334743,0.202860206,0.918295834,0.459147917,0.0,0.0,1.0181,64.18,0.029653019,0,0.0
48.488,10.58823529,7.307315529,0.41322314,1.701,3.286523337,0.153131176,1.971747257,0.5178785,0.0,1.96875,1.0816,12.89,0.026728768,0,8.8
0.0,136.1111111,14.630625,11.23088313,0.986765147,4.024486511,0.258348909,1.5,0.534310781,0.0,0.0,2.6496,0.0,0.398317306,0,1.8
183.48,5.411764706,6.954663765,0.055555556,1.801,2.949,0.5,0.918295834,0.220218789,0.0,0.0,2.3406,0.0,-0.053305973,0,0.0
227.165,14.26086957,7.176915304,0.229568411,1.73381161,3.077735668,0.174450323,1.348587896,0.277602547,0.0,0.0,3.3536,0.0,-0.018404256,0,1.0
0.0,,,10.73053041,0.986936614,4.020820377,0.260154341,1.521928095,0.760964047,0.0,0.0,2.0143,0.0,0.400812722,0,2.0
381.555,6.12345679,6.957057531,0.08984375,0.987143609,2.945424868,0.491421356,1.121640762,0.226402163,0.0,0.0,4.147,0.0,-0.053306146,0,0.0
356.5289,21.24444444,8.864860089,6.136621315,0.971466729,3.719272844,0.221999825,2.855904922,0.631339849,4.794537184,0.0,-1.2485,132.13,0.336419491,0,13.5
464.0449,28.66666667,8.065876139,1.737437632,0.977854242,3.702391629,0.193974748,3.492810217,0.651941449,4.992404733,4.081419804,3.1013,61.69,0.275713569,0,15.6
176.541,9.157894737,7.652923895,1.871111111,0.972892765,3.713979959,0.33176,2.070950594,0.479172848,0.0,0.0,1.3496,26.3,0.302122867,0,3.7
172.584,8.266666667,7.342712267,1.926566705,0.978008982,3.701327659,0.386524352,1.736041168,0.416324314,0.0,0.0,1.5196,17.07,0.132411328,0,6.3
91.74,4.148148148,6.89675037,0.132653061,0.986001079,2.918037031,0.478553391,1.148834854,0.310459011,0.0,0.0,1.8064,0.0,-0.05643437,0,0.0
49.632,8.333333333,7.815981,2.830246914,0.978009866,3.71388761,0.306044998,2.29248125,0.619515902,0.0,0.0,0.3234,26.3,0.305409841,1,16.6
102.3725,8.666666667,7.812616741,1.671875,0.987132423,3.676598463,0.341729558,1.919736718,0.491372018,0.0,0.0,0.0152,29.46,0.069705198,0,9.2
1056.745,14.74829932,7.450004735,1.507681756,0.992740522,3.671405284,0.346075741,3.15133504,0.555553374,0.0,0.0,2.58,60.69,0.115370618,0,3.8
171.4207,21.11538462,7.884626615,2.08650519,0.977704489,3.71444786,0.174595553,3.219528282,0.732990805,4.794537184,1.995126377,0.8682,39.19,0.338921629,0,4.4
0.0,,,0.041579028,0.977336307,3.492363974,0.550002986,1.921928095,0.960964047,0.0,0.0,1.5776,0.0,0.077763143,0,5.7
919.8468,20.73387097,8.662466484,3.567887517,0.987200184,3.697932766,0.319021363,2.592648021,0.46937973,0.0,0.0,-5.3956,189.53,0.223550334,0,7.5
110.528,7.878787879,7.56211697,0.473333333,1.801,3.675870189,0.341580343,2.040223929,0.522211687,0.0,1.96875,-0.3938,21.26,0.059108072,0,4.9
933.524,8.914285714,7.289182743,1.165224913,0.97718609,3.716721946,0.407182828,1.796576067,0.294109663,0.0,0.0,6.3542,52.6,0.305277747,0,2.0
155.1796,8.060606061,7.661272121,2.631510417,0.987214277,3.668882897,0.356280983,2.25,0.575905556,0.0,0.0,-0.2504,40.46,0.053349575,0,10.0
231.3582,21.59459459,8.316115027,3.565885614,0.971497761,3.716819141,0.177578256,3.308751351,0.703923792,4.794537184,0.0,1.3101,63.6,0.339003787,0,4.7
1398.856,14.75409836,7.439896765,1.982061524,0.977148663,3.703509103,0.37769893,2.967787158,0.500407789,0.0,0.0,2.6667,74.6,0.161297578,0,4.6
0.0,,,11.24048697,0.986936614,4.030662382,0.297170532,1.370950594,0.685475297,0.0,0.0,1.9011,0.0,0.44787588,0,2.5
334.1971,12.44444444,7.983538133,1.677667507,0.972785779,3.701566124,0.300424157,2.119085047,0.468454963,0.0,0.0,1.3905,26.3,0.132190667,0,6.0
4042.7652,16.15757576,7.693446335,1.811897676,0.977223393,3.715792198,0.313492946,2.850259799,0.370142473,19.96961893,22.75873827,6.6302,292.76,0.247687984,0,3.25
0.0,,,0.001464716,0.986936614,3.539031615,0.318727629,0.721928095,0.360964047,0.0,0.0,2.5529,0.0,0.265685211,0,0.0
62.7,16.28571429,7.862593,3.003566655,0.972910767,3.716378511,0.266604086,2.404009757,0.694914663,4.794537184,0.0,1.3817,26.3,0.403247387,0,10.0
605.7555,20.5625,7.647972292,0.971997028,0.977998882,3.701955291,0.238013867,3.30869497,0.583294582,0.0,4.300626694,3.934,32.67,0.248186673,0,12.6
0.0,,,6.0,0.79,3.700215953,0.090721842,1.5,0.75,0.0,0.0,-0.1849,17.07,0.106382254,0,18.3
1402.044,15.17777778,7.452829244,1.65828618,0.972648701,3.703466957,0.382298097,2.775802311,0.469926142,0.0,0.0,3.8384,54.37,0.16134532,0,4.2
1365.5399,23.57142857,8.048840779,3.325821995,0.972415609,3.70693756,0.2556592,4.094280647,0.674945672,0.0,3.734685617,-0.2144,181.62,0.255450836,0,8.53
127.6201,12.83333333,8.376533333,3.895061728,0.97159453,3.703462254,0.234443611,1.906890596,0.476722649,0.0,0.0,0.5545,34.14,0.136672069,0,9.0
764.1848,15.71794872,7.70014041,1.506730365,0.977953557,3.714230291,0.292822323,3.319810629,0.588216729,0.0,2.157158458,0.9181,62.3,0.315549882,0,4.9
115.94,16.625,7.993791,3.941358025,0.970208292,3.7136836,0.211983041,3.022055209,0.816674622,4.794537184,0.0,0.6471,37.3,0.330163383,0,2.8
242.8175,25.48571429,7.780450171,1.226459043,0.992374528,3.668013493,0.21032923,3.010570934,0.675101939,0.0,0.0,2.66244,20.23,0.115709908,0,5.7
277.9137,16.74468085,7.995106213,2.337191358,0.97791537,3.714076182,0.222163866,3.522055209,0.732638897,4.794537184,1.999166648,0.6192,59.42,0.339292333,0,8.5
127.8325,10.81481481,7.136807852,0.232098765,0.993853848,3.057018413,0.193319691,2.041946032,0.489684115,0.0,0.0,1.99502,0.0,-0.039774526,0,1.4
167.772,16.38235294,7.326442824,0.329873126,1.745776194,3.287459499,0.167934263,2.130926081,0.471072598,0.0,2.018077474,2.2348,12.89,0.034583363,0,6.6
148.3845,25.40740741,8.005157926,3.092977019,0.972956105,3.7137076,0.175642071,2.840223929,0.668614029,4.794537184,0.0,2.0382,37.3,0.335179993,0,5.9
141.7125,17.11111111,7.656013185,3.123950617,0.973020142,3.713691811,0.16839838,2.358938532,0.555315157,4.794537184,0.0,1.3848,37.3,0.335178235,0,10.1
0.0,12.5,9.239184,4.056120116,0.968068449,3.703722132,0.223074656,2.128085279,0.758039271,0.0,0.0,0.7717,17.07,0.218037261,0,10.6
255.6595,11.96,7.81146312,2.377314815,0.977669463,3.714304432,0.336901684,2.413890987,0.526479985,4.794537184,0.0,0.7105,46.53,0.334157775,0,6.5
353.114,10.88235294,7.854922294,1.399077278,0.972886117,3.71428243,0.331903542,2.086045124,0.410036435,0.0,0.0,1.3828,44.76,0.302207301,0,4.1
505.686,13.25974026,7.375809818,1.703907765,0.972730594,3.713684899,0.279466517,2.897103094,0.556124202,0.0,0.0,3.0732,37.3,0.310185352,0,7.7
531.686,24.69230769,7.893812205,1.628355982,0.977830403,3.702425001,0.195484592,3.381580488,0.619401565,4.992404733,4.178495769,2.4722,52.9,0.27805646,0,9.8
129.203,14.38461538,7.542913692,0.465169271,0.987988251,3.678444787,0.180901699,2.251614472,0.530050116,0.0,0.0,1.6952,9.23,0.118357715,0,4.1
69.372,19.52380952,7.512896381,0.21263167,0.993853848,3.492887348,0.177262184,1.650022422,0.42233648,0.0,0.0,2.34,0.0,0.040548441,0,4.3
0.0,152.1111111,7.845601,0.043611754,0.986001079,3.25046264,0.702350269,1.5,0.534310781,0.0,0.0,1.7762,0.0,0.012858598,0,6.8
271.5775,9.866666667,7.920444889,1.297133264,0.987134537,3.676964096,0.3445269,1.965767808,0.447546846,0.0,0.0,0.7938,29.46,0.070433745,0,6.1
133.3705,8.066666667,7.502232667,2.069010417,0.972910767,3.701423031,0.337943237,1.923794941,0.480948735,0.0,0.0,1.3755,17.07,0.129329532,0,7.1
108.976,8.846153846,7.657300769,3.5430839,0.972910767,3.713629772,0.311970489,2.403677461,0.631324768,0.0,0.0,0.8711,37.3,0.302828937,0,4.1
163.9505,6.153846154,7.130086667,1.302469136,0.987132423,3.667328286,0.429326233,1.791667484,0.438332421,0.0,0.0,1.1689,20.23,0.043052233,0,5.9
263.4605,19.52272727,7.535040273,2.354245402,0.973017926,3.713713221,0.175121005,2.29432426,0.477252938,4.794537184,0.0,2.538,37.3,0.33581577,0,3.2
813.1151,11.63636364,7.474240697,0.682847222,0.989343403,3.67720522,0.328575638,2.98791994,0.519196933,0.0,1.938168618,3.472,41.49,0.122406015,0,2.4
523.9096,25.30985915,8.200389127,4.107567444,0.972615354,3.756999609,0.23800349,3.949698735,0.758179114,0.0,3.996772919,0.909,112.7,0.268945133,0,9.5
631.336,23.94186047,7.94977186,2.082921398,0.972606568,3.714245103,0.197533025,3.716016178,0.651882374,0.0,2.256477224,3.92732,68.53,0.307407802,0,5.1
148.7205,25.40740741,8.005157926,3.092977019,0.972954869,3.713708442,0.175642071,2.840223929,0.668614029,4.794537184,0.0,2.0382,37.3,0.335232221,0,5.9
564.4871,14.25531915,7.611066851,0.820486111,0.98860501,3.67721295,0.254610341,3.163865122,0.572794358,0.0,1.936187198,2.5775,41.49,0.126758692,0,7.9
446.1195,19.04918033,7.920711016,3.553333333,0.977291016,3.70697092,0.284482409,2.724889452,0.566816783,4.794537184,3.95079351,0.1588,75.27,0.327631867,0,8.5
186.3685,14.56410256,7.786721231,0.557067271,1.734193507,3.680258565,0.236211024,2.63855926,0.56818281,0.0,0.0,1.4642,21.76,0.118937476,0,4.3
0.0,,,0.018802012,0.9839941,3.52367745,0.34503278,1.370950594,0.685475297,0.0,0.0,1.9864,0.0,0.180106635,0,3.1
100.845,13.09090909,7.943489273,2.432839506,0.957146852,3.713904955,0.247415436,2.815922064,0.703980516,4.794537184,0.0,0.7355,26.3,0.329627783,0,7.1
184.0065,20.13333333,8.151663333,3.568589481,0.971589941,3.788911885,0.277716411,2.078491674,0.48091769,8.366170865,0.0,0.3042,60.98,0.399331683,0,14.7
291.9095,9.466666667,7.641868133,1.137931034,0.98714361,3.679139464,0.36986609,1.923618624,0.400140754,0.0,0.0,0.812,38.69,0.070112057,0,7.0
128.158,5.333333333,7.033189091,0.553710938,0.9872569,3.220880655,0.423240118,1.966917187,0.503448238,0.0,1.681218434,0.7452,26.02,-0.007737643,0,4.5
383.511,13.55,7.4675178,0.991388508,0.987621919,3.66756417,0.254296018,3.006025245,0.612613056,0.0,1.841413848,1.3279,32.26,0.093965301,0,3.4
844.3306,16.61538462,7.661340677,2.019658352,0.97792271,4.009945478,0.258003343,3.353225274,0.572419965,4.390415048,2.22091368,4.4256,40.54,0.162424753,0,9.0
236.161,7.215686275,7.253617647,1.991735537,0.987143501,3.668607326,0.404712654,1.867633891,0.425204672,0.0,0.0,0.5314,40.46,0.043052419,0,8.4
181.673,7.846153846,7.383381538,1.77654663,0.972892041,3.701425088,0.361094203,1.878477513,0.44221035,0.0,0.0,1.7656,17.07,0.129339773,0,6.1
451.2355,18.76811594,7.680522203,2.935368251,0.972815103,4.009936841,0.201144823,3.083228568,0.583347954,4.390415048,0.0,3.6808,37.3,0.310187148,0,2.2
150.8325,12.8,7.302695867,1.431315104,0.987988251,3.667350908,0.204494514,2.423794941,0.570582933,0.0,0.0,1.1789,20.23,0.06813694,0,6.3
94.0125,14.7826087,7.283889913,1.639053254,0.911348421,3.356796614,0.152117065,1.914341184,0.459082881,0.0,1.726227523,1.55828,23.79,0.099108837,0,9.0
