Ratio_PSA,SMILES_PSA,Ratio_PI,SMILES_PI,Td5
1.0,O=C1c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8cccc9c(C#Cc%10ccccc%10)ccc(c89)C7=O)cc6C(F)(F)F)cc5-c5cccc(C(F)(F)F)c5)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc6c(C#Cc7ccccc7)ccc(c56)C4=O)cc3C(F)(F)F)c(-c3cccc(C(F)(F)F)c3)c2)c(C(F)(F)F)c1,0.0,O=C1c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8cccc9c(C#Cc%10ccccc%10)ccc(c89)C7=O)cc6C(F)(F)F)cc5-c5cccc(C(F)(F)F)c5)c(C(F)(F)F)c3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5cccc6c(C#Cc7ccccc7)ccc(c56)C4=O)cc3C(F)(F)F)c(-c3cccc(C(F)(F)F)c3)c2)c(C(F)(F)F)c1,546.0
1.0,C#Cc1cccc(N2COc3ccccc3C2)c1,0.0,C#Cc1cccc(N2COc3ccccc3C2)c1,384.0
0.65,C#Cc1cccc(C#C[Si](C)(C#Cc2cccc(C#C)c2)C=C)c1,0.35,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(OC8=CC=C(N9C(C(C=CC(OC%10=CC=CC(C(N%11C%12=CC(C#C)=CC=C%12)=O)=C%10C%11=O)=C%13)=C%13C9=O)=O)C=C8)=CC=C7)=O)=C5C6=O)=C%14)=C%14C4=O)=O)C=C3)=CC=C2)C(C%15=CC=C(OC%16=CC=CC%17=C%16C(N(C%18=CC=CC(C#C)=C%18)C%17=O)=O)C=C%151)=O,549.0
1.0,C#CC1=CC=C(C2=NC3=C(C=CC(S(C4=CC(N=C(C5=CC=C(C#C)C=C5)O6)=C6C=C4)(=O)=O)=C3)O2)C=C1,0.0,C#CC1=CC=C(C2=NC3=C(C=CC(S(C4=CC(N=C(C5=CC=C(C#C)C=C5)O6)=C6C=C4)(=O)=O)=C3)O2)C=C1,535.0
0.0,C#Cc1cccc(C#C[Si](C)(C#Cc2cccc(C#C)c2)C=C)c1,1.0,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(OC8=CC=C(N9C(C(C=CC(OC%10=CC=CC(C(N%11C%12=CC(C#C)=CC=C%12)=O)=C%10C%11=O)=C%13)=C%13C9=O)=O)C=C8)=CC=C7)=O)=C5C6=O)=C%14)=C%14C4=O)=O)C=C3)=CC=C2)C(C%15=CC=C(OC%16=CC=CC%17=C%16C(N(C%18=CC=CC(C#C)=C%18)C%17=O)=O)C=C%151)=O,522.0
1.0,BB(B)B(B(B)[B][C])C(B(B)B)([SiH](C)C#Cc1ccccc1)[SiH](C)C#Cc1ccccc1,0.0,BB(B)B(B(B)[B][C])C(B(B)B)([SiH](C)C#Cc1ccccc1)[SiH](C)C#Cc1ccccc1,762.0
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5cccc6c5C(=O)N(c5ccc(-c7ccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)cc7C(F)(F)F)c(C(F)(F)F)c5)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5cccc6c5C(=O)N(c5ccc(-c7ccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)cc7C(F)(F)F)c(C(F)(F)F)c5)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,545.0
1.0,C#CCOc1ccc(N2COc3ccccc3C2)cc1,0.0,C#CCOc1ccc(N2COc3ccccc3C2)cc1,348.0
1.0,C#C[SiH](C)C#CB(C#C[SiH](C)C#C)c1ccccc1,0.0,C#C[SiH](C)C#CB(C#C[SiH](C)C#C)c1ccccc1,650.0
1.0,C#Cc1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C)c2)c1,0.0,C#Cc1cccc(C#C[Si](C)(C)C#Cc2cccc(C#C)c2)c1,593.0
