,VE1_A,ATSC2Z,ATSC0i,AATSC2c,MATS2m,MATS7are,GATS7dv,GATS4s,ETA_eta_BR,EState_VSA5,MID_O,BCUT2D_CHGHI,log_110,vis_pre,split
15,6.421036328741738,309.370519031142,385.9011494488657,0.0036676733323766,0.145172963910442,0.3515641242954717,1.0058593639541995,0.8597137498688345,3.8467461920100967,60.6636706846161,22.75536323854009,2.4535092581785367,7.033656936,7.033655051123691,train
8,6.847611851786421,212.0000000000001,237.25286998276283,0.0037054345869926,0.1040432154843543,-0.0351318244449201,1.059198217748638,0.9375334787014692,3.107599880271993,0.0,24.83175142314166,2.4153894835953307,7.176850064,7.176847842454767,train
26,7.538155811507897,-27.49141776937621,185.6628216451553,0.0065402229348589,-0.0136593911792551,0.1154241419885975,0.9041501224180236,0.9750371001253682,2.342485941930722,60.6636706846161,22.671734878891137,2.429941090850192,6.829137988,6.82913925600719,train
11,8.411099240781457,291.20468113083507,278.4745661807636,0.0033106486895143,0.1202319718802351,-0.0140383668384438,1.0823387800145954,0.9218812135800144,3.6197667064437535,0.0,26.90116441345799,2.419345847860332,7.044424472,7.044425484936377,train
5,7.736193764452056,210.38584710743783,252.218188129654,0.0035725778573585,0.0965408661170876,-0.1077412148392635,1.0976366510856317,0.93981341338551,3.2441101374888213,0.0,26.91392270048632,2.4170813717217987,6.812829145,6.917670596604795,test
6,8.480172748980236,210.38584710743783,252.218188129654,0.0036531069669076,0.0965408661170876,0.0123184614897338,1.0409753459676034,0.9496084968246806,3.2441101374888213,0.0,26.90838077526785,2.415739184667543,6.782413187,6.752703422922159,test
3,7.802947431121013,214.41723356009064,579.4695322362415,0.0039406420801195,0.1431068806234939,0.3875799920823665,0.6873076159269189,0.8027567557881601,4.300705163142791,36.39820241076966,14.435934489643586,2.743222391522796,7.124088896,6.965626840670293,test
12,7.44597457245161,210.5055398185666,239.95022032491352,0.0034199307123331,0.101693458092372,-0.0617557553933702,1.0768135515943895,0.9104021462025724,3.107599880271993,0.0,22.75140152053267,2.4142747951676897,7.00976742,7.002312603873085,test
13,6.334558811000241,301.9400247251831,248.52364929015823,0.0032807614800768,0.1407500428904065,-0.0762204990174543,1.0672228539832038,0.902297972903332,3.2862326752260835,9.799819461700956,22.749451213568275,2.419401627839171,7.084536977,7.0902551002781244,test
1,7.517956815346533,165.66666666666657,466.2236723750547,0.004019730068783,0.1056010427676327,0.462211381469377,0.5924864596594953,0.8040063468995923,3.698069108621515,121.32734136923226,18.58542211394137,2.7423454553084263,7.252295148,7.181143109132563,test
